id,Infinitive,Past/simple,Past/participle,translate
1,abide,abode/abided,abode/abided,перебувати/триматися
2,arise,arose,arisen,піднятися/виникнути
3,awake,awoke,awaked/awoke,будити/прокинутися
4,backbite,backbitten,backbitten,наклепувати
5,backslide,backslid,backslid,відпадати
6,be,was/were,been,бути
7,bear,bore,born/borne,народити
8,beat,beat,beaten,бити
9,become,became,become,ставати
10,befall,befell,befallen,статися
11,beget,begot/begat,begotten,породжувати
12,begin,began,begun,починати
13,begird,begirt,begirt,опоясувати
14,behold,beheld,beheld,дозрівати
15,bend,bent,bent/bended,нахилятися (убік)
16,bereave,bereft/bereaved,bereft/bereaved,позбавляти
17,beseech,besought/beseeched,besought/beseeched,благати/просити
18,beset,beset,beset,брати в облогу
19,bespeak,bespoke,bespoke/bespoken,замовляти
20,bespit,bespat,bespat,запльовувати
21,bestride,bestrode,bestridden,сідати/сидіти верхи
22,bet,bet/betted,bet/betted,тримати парі
23,betake,betook,betaken,прийматися/вирушати
24,bid,bad/bade/bid,bid/bidden,наказувати/просити
25,bind,bound,bound,зв'язати
26,bite,bit,bit/bitten,кусати
27,bleed,bled,bled,кровоточити
28,bless,blessed,blessed/blest,благословляти
29,blow,blew,blown/blowed,дмухати
30,break,broke,broken,зламати
31,breed,bred,bred,вирощувати
32,bring,brought,brought,приносити
33,broadcast,broadcast,broadcast,поширювати/розкидати
34,browbeat,browbeat,browbeaten,залякувати
35,build,built,built,будувати
36,burn,burnt/burned,burnt/burned,палити/горіти
37,burst,burst,burst,вибухнути
38,bust,bust/busted,bust/busted,розжалувати
39,buy,bought,bought,купувати
40,can,could,could,могти/вміти
41,cast,cast,cast,кинути/лити метал
42,catch,caught,caught,ловити/хапати/встигнути
43,chicle,chid/chided,chid/chided/chidden,лаяти
44,choose,chose,chosen,обирати
45,cleave,clove/cleft/cleaved,cloven/cleft/cleaved,розсікти
46,cling,clung,clung,чіплятися/льнути
47,come,came,come,приходити
48,cost,cost,cost,коштувати
49,countersink,countersank,countersunk,зенкувати
50,creep,crept,crept,повзти
51,crow,crowed/crew,crowed,співати (про півня)
52,cut,cut,cut,різати
53,dare,durst/dared,dared,мати сміливість
54,deal,dealt,dealt,мати справу
55,dig,dug,dug,копати
56,dive,dived/dove,dived,пірнати/занурюватися
57,do,did,done,робити
58,draw,drew,drawn,малювати
59,dream,dreamt/dreamed,dreamt/dreamed,мріяти
60,drink,drank,drunk,пити
61,drive,drove,driven,водити машину
62,dwell,dwelt,dwelt,мешкати
63,eat,ate,eaten,їсти
64,fall,fell,fallen,падати
65,feed,fed,fed,годувати
66,feel,felt,felt,відчувати
67,fight,fought,fought,боротися
68,find,found,found,знаходити
69,fit,fit,fit,підходити (за розміром)
70,flee,fled,fled,тікати
71,fling,flung,flung,кинути
72,floodlight,floodlighted/floodlit,floodlighted/floodlit,освітлювати прожектором
73,fly,flew,flown,літати
74,forbear,forbore,forborne,утримуватися
75,forbid,forbadforbade,forbidden,забороняти
76,forecast,forecast/forecasted,forecast/forecasted,передбачати
77,foresee,foresaw,foreseen,передбачити
78,foretell,foretold,foretold,передбачати
79,forget,forgot,forgotten,забувати
80,forgive,forgave,forgiven,прощати
81,forsake,forsook,forsaken,залишати
82,forswear,forswore,forsworn,зрікатися
83,freeze,froze,frozen,замерзати
84,gainsay,gainsaid,gainsaid,заперечувати/суперечити
85,get,got,got,отримувати
86,gild,gilt/gilded,gilt/gilded,позолотити
87,gird,girded/girt,girded/girt,опоясувати
88,give,gave,given,давати
89,go,went,gone,йти
90,grave,graved,graved/graven,гравірувати
91,grind,ground,ground,точити/гострити/розмелювати
92,grow,grew,grown,зростати
93,hamstring,hamstringed/hamstrung,hamstringed/hamstrung,підрізати піджилки
94,hang,hung/hanged,hung/hanged,вішати
95,have,had,had,мати
96,hear,heard,heard,слухати
97,heave,heaved/hove,heaved/hove,підніматися
98,hew,hewed,hewed/hewn,рубати/тесати
99,hide,hid,hidden,ховатися
100,hit,hit,hit,вдарити/влучати в ціль
101,hold,held,held,тримати
102,hurt,hurt,hurt,завдати болю
103,interweave,interwove,interwoven,переплітати
104,keep,kept,kept,берегти
105,kneel,knelt/kneeled,knelt/kneeled,стояти на колінах
106,knit,knit/knitted,knit/knitted,в'язати
107,know,knew,known,знати
108,lade,laded,laded/laden,вантажити
109,lay,laid,laid,класти/покласти
110,learn,learnt/learned,learnt/learned,вчити
111,leave,left,left,залишати
112,lend,lent,lent,позичати
113,let,let,let,дозволяти
114,lie,lay,lain,лежати/брехати
115,lose,lost,lost,втрачати
116,make,made,made,робити/виробляти
117,may,might,might,могти
118,mean,meant,meant,мати на увазі
119,meet,met,met,зустріти
120,misdeal,misdealt,misdealt,чинити неправильно
121,misgive,misgave,misgiven,вселяти побоювання
122,mishear,misheard,misheard,недочувати
123,mishit,mishit,mishit,промахнутися
124,mislay,mislaid,mislaid,заблукати
125,mislead,misled,misled,вводити в оману
126,misread,misread,misread,неправильно тлумачити
127,misspell,misspelt/misspeled,misspelt/misspeled,писати з помилками
128,misspend,misspent,misspent,заощаджувати
129,mistake,mistook,mistaken,помилятись
130,misunderstand,misunderstood,misunderstood,неправильно розуміти
131,outbid,outbid,outbid,перекупити
132,outdo,outdid,outdone,перевершити
133,outfight,outfought,outfought,перемагати (у бою)
134,outgrow,outgrew,outgrown,переростати
135,output,output/outputted,output/outputted,виходити
136,outrun,outran,outrun,випереджати
137,outsell,outsold,outsold,перевершувати продажі
138,outshine,outshone,outshone,затьмарювати
139,overbid,overbid,overbid,наказувати
140,overcome,overcame,overcome,компенсувати
141,overdo,overdid,overdone,пересмажити
142,overdraw,overdrew,overdrawn,перевищувати
